Lag,Autocorrelation,Date,Is_Weekend,Significant
1,0.5651362482647359,2024-08-30,False,True
6,0.42579248826724697,2024-08-25,True,True
7,0.7473724123074734,2024-08-24,True,True
8,0.4073537566858768,2024-08-23,False,True
13,0.3278302620855732,2024-08-18,True,True
14,0.6338840871360769,2024-08-17,True,True
15,0.3203024975392739,2024-08-16,False,True
20,0.29836626599704036,2024-08-11,True,True
21,0.6049107683311288,2024-08-10,True,True
22,0.29415376357288037,2024-08-09,False,True
27,0.286844764564314,2024-08-04,True,True
28,0.5902716517206289,2024-08-03,True,True
29,0.2886345537088059,2024-08-02,False,True
34,0.2724183256280585,2024-07-28,True,True
35,0.570376546666499,2024-07-27,True,True
36,0.2659862976543692,2024-07-26,False,True
41,0.26140784624757457,2024-07-21,True,True
42,0.5435438474607663,2024-07-20,True,True
43,0.23910831017599768,2024-07-19,False,True
48,0.2494373870189384,2024-07-14,True,True
49,0.5646989479247588,2024-07-13,True,True
50,0.2807170114750797,2024-07-12,False,True
55,0.29614945841152945,2024-07-07,True,True
56,0.5913471872079891,2024-07-06,True,True
57,0.3026578358452317,2024-07-05,False,True
62,0.31168311173517677,2024-06-30,True,True
63,0.5822162463209476,2024-06-29,True,True
64,0.2945985308495092,2024-06-28,False,True
69,0.24889356679909627,2024-06-23,True,True
70,0.519909732630918,2024-06-22,True,True
71,0.2327731873116827,2024-06-21,False,True
76,0.20760961960620708,2024-06-16,True,True
77,0.48746655508754755,2024-06-15,True,True
84,0.4796093212515318,2024-06-08,True,True
85,0.20176595568463346,2024-06-07,False,True
90,0.20088491242208573,2024-06-02,True,True
91,0.49319273599921004,2024-06-01,True,True
92,0.2165732524338342,2024-05-31,False,True
98,0.4513668923276461,2024-05-25,True,True
